id,name,county,state,country,latitude,longitude,watershed,stream,form,wwd_url
CA-9,Yosemite Falls,Mariposa County,California,United States,37.75703,-119.59671,San Joaquin River,Yosemite Creek,Tiered Plunges,https://www.worldwaterfalldatabase.com/waterfall/Yosemite-Falls-9
CA-24,Sentinel Fall,Mariposa County,California,United States,37.72255,-119.59336,San Joaquin River,Sentinel Creek,Tiered Plunges,https://www.worldwaterfalldatabase.com/waterfall/Sentinel-Fall-24
CA-25,Snow Creek Falls,Mariposa County,California,United States,37.76426,-119.53531,San Joaquin River,Snow Creek,Tiered Horsetails,https://www.worldwaterfalldatabase.com/waterfall/Snow-Creek-Falls-25
CA-35,Wapama Falls,Tuolumne County,California,United States,37.967305,-119.765505,Tuolumne River,Falls Creek,Horsetail,https://www.worldwaterfalldatabase.com/waterfall/Wapama-Falls-35
CA-38,Ribbon Fall,Mariposa County,California,United States,37.73607,-119.6475,San Joaquin River,Ribbon Creek,Plunge,https://www.worldwaterfalldatabase.com/waterfall/Ribbon-Fall-38
CA-46,Widow's Tears,Mariposa County,California,United States,37.70554,-119.66552,,,Horsetail,https://www.worldwaterfalldatabase.com/waterfall/Widows-Tears-46
CA-65,Staircase Falls,Mariposa County,California,United States,37.734544,-119.578129,San Joaquin River,Gossamer Creek,Tiered Horsetails,https://www.worldwaterfalldatabase.com/waterfall/Staircase-Falls-65
CA-66,Royal Arch Cascade,Mariposa County,California,United States,37.74957,-119.57098,San Joaquin River,Royal Arch Creek,Veiling Horsetail,https://www.worldwaterfalldatabase.com/waterfall/Royal-Arch-Cascade-66
CA-76,Tokopah Falls,Tulare County,California,United States,36.608816,-118.689597,,Marble Fork Kaweah River,Steep Tiered Cascades,https://www.worldwaterfalldatabase.com/waterfall/Tokopah-Falls-76
CA-81,Lehamite Falls,Mariposa County,California,United States,37.76267,-119.5788,San Joaquin River,Lehamite Creek,Steep Tiered Cascades,https://www.worldwaterfalldatabase.com/waterfall/Lehamite-Falls-81
CA-82,Silver Strand Falls,Mariposa County,California,United States,37.7044712,-119.669337,,Meadow Brook,Horsetail,https://www.worldwaterfalldatabase.com/waterfall/Silver-Strand-Falls-82
CA-89,Tueeulala Falls,Tuolumne County,California,United States,37.96407,-119.77275,,Falls Creek,Plunge,https://www.worldwaterfalldatabase.com/waterfall/Tueeulala-Falls-89
CA-90,Horsetail Falls,Mariposa County,California,United States,37.730894,-119.628212,,Unnamed,Plunge,https://www.worldwaterfalldatabase.com/waterfall/Horsetail-Falls-90
